protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
CAS02289.1	Bacteria					uncultured soil bacterium		164851.0
ALL53224.1	Bacteria					uncultured bacterium		77133.0
AID55970.1	Bacteria	candidate division NC10				NC10 bacterium enrichment culture clone MSGLR 2-1		1511017.0
RLA23887.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
BAJ60991.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
BAW94430.1	Archaea					uncultured archaeon		115547.0
CAA9492102.1	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	uncultured Rubrobacteraceae bacterium		349277.0
CBL51779.1	Archaea					uncultured archaeon		115547.0
AET36357.1	Archaea					uncultured archaeon		115547.0
AFF58981.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
CDH93653.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
WP_040789699.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Nocardia paucivorans	Nocardia	114259.0
WP_172631520.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas stercoris	Nitrosomonas	1444684.0
WP_188649144.1	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Marinithermofilum abyssi	Marinithermofilum	1571185.0
WP_187099619.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium fluoranthenivorans	Mycolicibacterium	258505.0
BAW94423.1	Archaea					uncultured archaeon		115547.0
CDH93662.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
APH10080.1	Bacteria					uncultured bacterium		77133.0
TMD95229.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
ACJ64807.1	Bacteria					uncultured bacterium		77133.0
AKR06140.1	Archaea					uncultured archaeon		115547.0
AKC58294.1	Archaea					uncultured archaeon		115547.0
CBL51791.1	Archaea					uncultured archaeon		115547.0
TML97272.1	Bacteria	Actinobacteria	Actinomycetia			Actinobacteria bacterium		1883427.0
CBL51789.1	Archaea					uncultured archaeon		115547.0
CBL51768.1	Archaea					uncultured archaeon		115547.0
ADG84058.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
AGD80484.1	Bacteria					uncultured bacterium		77133.0
AJN00718.1	Archaea					uncultured archaeon		115547.0
ALL53263.1	Bacteria					uncultured bacterium		77133.0
CBL51792.1	Archaea					uncultured archaeon		115547.0
CDN71681.1	Archaea					uncultured archaeon		115547.0
WP_089299904.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Haloechinothrix alba	Haloechinothrix	664784.0
BBO00575.1	Bacteria					uncultured bacterium		77133.0
AEK78039.1	Archaea					uncultured archaeon		115547.0
WP_149383891.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp. ELW1	Mycobacterium	1547487.0
AWJ65800.1	Bacteria					uncultured bacterium		77133.0
ACB47876.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
AFF59901.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
ABX75884.1	Bacteria					uncultured bacterium		77133.0
AGO95022.1	Bacteria					uncultured bacterium		77133.0
AOX12084.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
WP_205697239.1	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter sp. SYSU D00693	Conexibacter	2812560.0
ABB17246.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured Nitrosospira sp.	Nitrosospira	156425.0
BAH22846.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium SF-BR		557145.0
WP_194968271.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter sp. BlB1	Methylobacter	2785914.0
AIN45390.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_138165963.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. B8	Methylocystis	544938.0
WP_088922033.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Granulosicoccus antarcticus	Granulosicoccus	437505.0
AFA54044.1	Archaea					uncultured archaeon		115547.0
AWJ65651.1	Bacteria					uncultured bacterium		77133.0
WP_102810290.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp. ENV421	Mycobacterium	1213407.0
BAJ60989.1	Archaea					uncultured ammonia-oxidizing archaeon		418404.0
WP_133879578.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Panacagrimonas perspica	Panacagrimonas	381431.0
BAH22834.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-SHO		557142.0
AGW21972.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
AET36509.1	Archaea					uncultured archaeon		115547.0
ARM20314.1	Bacteria					uncultured bacterium		77133.0
WP_201776587.1	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Nocardiopsaceae	Allosalinactinospora lopnorensis	Allosalinactinospora	1352348.0
WP_130289695.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia sediminis	Pseudonocardia	1397368.0
SFL76501.1	Bacteria	Actinobacteria	Actinomycetia	Geodermatophilales	Geodermatophilaceae	Geodermatophilus ruber	Geodermatophilus	504800.0
WP_138326564.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Lichenicoccus roseus	Lichenicoccus	2683649.0
AQU43297.1	Archaea					uncultured archaeon		115547.0
CBL51762.1	Archaea					uncultured archaeon		115547.0
SFU68438.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	1231.0
CDH93663.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
AGC60249.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium liflandii	Mycobacterium	459424.0
AGT57468.1	Bacteria					uncultured bacterium		77133.0
CDR85902.1	Archaea					uncultured archaeon		115547.0
CDR86204.1	Bacteria					uncultured bacterium		77133.0
APH10064.1	Bacteria					uncultured bacterium		77133.0
ABN04044.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
APH10085.1	Bacteria					uncultured bacterium		77133.0
BAH22829.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-SHO		557142.0
ARQ31499.1	Bacteria					uncultured bacterium		77133.0
CBL51793.1	Archaea					uncultured archaeon		115547.0
CCV66838.1	Archaea	Thaumarchaeota				uncultured thaumarchaeote		651141.0
QXE97827.1	Archaea					uncultured archaeon		115547.0
SMG66164.1	Bacteria	Proteobacteria	Gammaproteobacteria			methanotrophic bacterial endosymbiont of Bathymodiolus sp.		280772.0
ASW41058.1	Bacteria					uncultured bacterium		77133.0
BBC85259.1						uncultured prokaryote		198431.0
BBC84962.1						uncultured prokaryote		198431.0
BBC90062.1						uncultured prokaryote		198431.0
BBC87755.1						uncultured prokaryote		198431.0
BBC89034.1						uncultured prokaryote		198431.0
BBC85817.1						uncultured prokaryote		198431.0
BBC87541.1						uncultured prokaryote		198431.0
BBC85225.1						uncultured prokaryote		198431.0
BBC86703.1						uncultured prokaryote		198431.0
BBC85244.1						uncultured prokaryote		198431.0
AFW03612.1						uncultured prokaryote		198431.0
BBC90545.1						uncultured prokaryote		198431.0
BBC86991.1						uncultured prokaryote		198431.0
BBC89336.1						uncultured prokaryote		198431.0
BBC90364.1						uncultured prokaryote		198431.0
BBC90765.1						uncultured prokaryote		198431.0
BBC86637.1						uncultured prokaryote		198431.0
BBC84565.1						uncultured prokaryote		198431.0
BBC89310.1						uncultured prokaryote		198431.0
BBC84927.1						uncultured prokaryote		198431.0
BBC86686.1						uncultured prokaryote		198431.0
BBC90365.1						uncultured prokaryote		198431.0
BBC87003.1						uncultured prokaryote		198431.0
BBC84557.1						uncultured prokaryote		198431.0
BBC88320.1						uncultured prokaryote		198431.0
BBC90085.1						uncultured prokaryote		198431.0
BBC89315.1						uncultured prokaryote		198431.0
BBC88648.1						uncultured prokaryote		198431.0
BBC86990.1						uncultured prokaryote		198431.0
BBC89637.1						uncultured prokaryote		198431.0
AFW03609.1						uncultured prokaryote		198431.0
BBC89648.1						uncultured prokaryote		198431.0
BBC87240.1						uncultured prokaryote		198431.0
BBC86974.1						uncultured prokaryote		198431.0
BBC86033.1						uncultured prokaryote		198431.0
AVG47957.1						uncultured microorganism		358574.0
BBC87906.1						uncultured prokaryote		198431.0
BBC90061.1						uncultured prokaryote		198431.0
BBC87778.1						uncultured prokaryote		198431.0
BBC90028.1						uncultured prokaryote		198431.0
BBC85238.1						uncultured prokaryote		198431.0
BBC86018.1						uncultured prokaryote		198431.0
BBC85782.1						uncultured prokaryote		198431.0
BBC85544.1						uncultured prokaryote		198431.0
AFW03610.1						uncultured prokaryote		198431.0
BBC85534.1						uncultured prokaryote		198431.0
BBC90786.1						uncultured prokaryote		198431.0
BBC89011.1						uncultured prokaryote		198431.0
BBC86689.1						uncultured prokaryote		198431.0
BBC84908.1						uncultured prokaryote		198431.0
BBC90055.1						uncultured prokaryote		198431.0
BBC86977.1						uncultured prokaryote		198431.0
BBC87213.1						uncultured prokaryote		198431.0
AFW03574.1						uncultured prokaryote		198431.0
BBC89605.1						uncultured prokaryote		198431.0
BBC90375.1						uncultured prokaryote		198431.0
BBC89334.1						uncultured prokaryote		198431.0
BBC86636.1						uncultured prokaryote		198431.0
BBC85561.1						uncultured prokaryote		198431.0
BBC87012.1						uncultured prokaryote		198431.0
QBO71512.1						uncultured microorganism		358574.0
BBC86659.1						uncultured prokaryote		198431.0
BBC86996.1						uncultured prokaryote		198431.0
BBC84561.1						uncultured prokaryote		198431.0
BBC88599.1						uncultured prokaryote		198431.0
BBC88324.1						uncultured prokaryote		198431.0
BBC90787.1						uncultured prokaryote		198431.0
BBC89646.1						uncultured prokaryote		198431.0
BBC89621.1						uncultured prokaryote		198431.0
BBC85798.1						uncultured prokaryote		198431.0
BBC85768.1						uncultured prokaryote		198431.0
BBC84955.1						uncultured prokaryote		198431.0
BBC88621.1						uncultured prokaryote		198431.0
BBC88644.1						uncultured prokaryote		198431.0
BBC84968.1						uncultured prokaryote		198431.0
BBC86702.1						uncultured prokaryote		198431.0
BBC85822.1						uncultured prokaryote		198431.0
BBC87263.1						uncultured prokaryote		198431.0
BBC90791.1						uncultured prokaryote		198431.0
BBC90534.1						uncultured prokaryote		198431.0
BBC88054.1						uncultured prokaryote		198431.0
BBC85545.1						uncultured prokaryote		198431.0
BBC90797.1						uncultured prokaryote		198431.0
BBC86310.1						uncultured prokaryote		198431.0
AFW03576.1						uncultured prokaryote		198431.0
BBC90042.1						uncultured prokaryote		198431.0
BBC84921.1						uncultured prokaryote		198431.0
BBC87896.1						uncultured prokaryote		198431.0
BBC86324.1						uncultured prokaryote		198431.0
BBC89303.1						uncultured prokaryote		198431.0
BBC88385.1						uncultured prokaryote		198431.0
BBC90557.1						uncultured prokaryote		198431.0
AFW03572.1						uncultured prokaryote		198431.0
BBC88654.1						uncultured prokaryote		198431.0
BBC90051.1						uncultured prokaryote		198431.0
BBC85790.1						uncultured prokaryote		198431.0
BBC89293.1						uncultured prokaryote		198431.0
BBC90788.1						uncultured prokaryote		198431.0
BBC89033.1						uncultured prokaryote		198431.0
BBC85224.1						uncultured prokaryote		198431.0
BBC84606.1						uncultured prokaryote		198431.0
BBC89655.1						uncultured prokaryote		198431.0
BBC84599.1						uncultured prokaryote		198431.0
BBC87562.1						uncultured prokaryote		198431.0
BBC90532.1						uncultured prokaryote		198431.0
BBC89658.1						uncultured prokaryote		198431.0
BBC85829.1						uncultured prokaryote		198431.0
BBC87026.1						uncultured prokaryote		198431.0
BBC89344.1						uncultured prokaryote		198431.0
BBC89043.1						uncultured prokaryote		198431.0
BBC89294.1						uncultured prokaryote		198431.0
BBC86334.1						uncultured prokaryote		198431.0
AVG47988.1						uncultured microorganism		358574.0
BBC87013.1						uncultured prokaryote		198431.0
BBC90381.1						uncultured prokaryote		198431.0
BBC87895.1						uncultured prokaryote		198431.0
BBC90096.1						uncultured prokaryote		198431.0
BBC90344.1						uncultured prokaryote		198431.0
BBC88387.1						uncultured prokaryote		198431.0
BBC89654.1						uncultured prokaryote		198431.0
BBC87786.1						uncultured prokaryote		198431.0
BBC89651.1						uncultured prokaryote		198431.0
BBC87027.1						uncultured prokaryote		198431.0
BBC89031.1						uncultured prokaryote		198431.0
BBC86663.1						uncultured prokaryote		198431.0
BBC85812.1						uncultured prokaryote		198431.0
BBC89042.1						uncultured prokaryote		198431.0
BBC87023.1						uncultured prokaryote		198431.0
BBC85261.1						uncultured prokaryote		198431.0
BBC88663.1						uncultured prokaryote		198431.0
BBC90087.1						uncultured prokaryote		198431.0
BBC89041.1						uncultured prokaryote		198431.0
BBC84607.1						uncultured prokaryote		198431.0
BBC86333.1						uncultured prokaryote		198431.0
BBC84605.1						uncultured prokaryote		198431.0
BBC85285.1						uncultured prokaryote		198431.0
BBC85831.1						uncultured prokaryote		198431.0
AVG47992.1						uncultured microorganism		358574.0
BBC90097.1						uncultured prokaryote		198431.0
BBC90542.1						uncultured prokaryote		198431.0
BBC90540.1						uncultured prokaryote		198431.0
AVG47979.1						uncultured microorganism		358574.0
BBC85277.1						uncultured prokaryote		198431.0
HIF17486.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
MBI4692866.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
NOT83306.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
MBI3806067.1	Bacteria	Nitrospirae				Nitrospirae bacterium		2026887.0
MBK9308578.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
NOT84225.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
MBI3806622.1	Bacteria	Nitrospirae				Nitrospirae bacterium		2026887.0
MBI3249326.1	Bacteria	Proteobacteria	Deltaproteobacteria			Deltaproteobacteria bacterium		2026735.0
MBS0184631.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
MBT3812956.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBL4608890.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
MAY26600.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Polycyclovorans sp.	Polycyclovorans	2024852.0
MBK8957795.1	Bacteria	Proteobacteria				Proteobacteria bacterium		1977087.0
MBH0187733.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
MBO0732863.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa sp.	Methylocapsa	2004513.0
MBU0790080.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MSQ68733.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBI3798513.1	Bacteria	Proteobacteria	Deltaproteobacteria			Deltaproteobacteria bacterium		2026735.0
HFD13351.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenotrichaceae bacterium		2268193.0
MBL4865711.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
MBI2800181.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
HBC58674.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBQ0798663.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae bacterium		2026782.0
NJM92859.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae bacterium		1898112.0
HAD08253.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae bacterium		2026782.0
MBV1870288.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
NDC61345.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium		1891241.0
MBI1868868.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp.	Methylocystis	1911079.0
HBC58429.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBL6751106.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Nevskia sp.	Nevskia	1929292.0
MBA0922547.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira sp.	Nitrosospira	38080.0
MBM3550397.1	Bacteria	Proteobacteria	Alphaproteobacteria			Alphaproteobacteria bacterium		1913988.0
NOT24047.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospiraceae bacterium		2026770.0
AAG60667.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea sp.	Zoogloea	49181.0
MBQ0724046.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
HIE90048.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBI5257618.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Burkholderiales bacterium		1891238.0
MBT35707.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales		Rickettsiales bacterium		2026788.0
MBI1868869.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp.	Methylocystis	1911079.0
MBI3628679.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
MBK7353821.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp.	Nitrosomonas	42353.0
MBT9599054.1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla sp.	Vitreoscilla	60.0
HBG52163.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
NOS82892.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
NOQ77039.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
MBL8037227.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
MBH2043672.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae bacterium		1871071.0
HIF17471.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
NOS74123.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus sp.	Methyloglobulus	2518622.0
MBK8133020.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
HIG91658.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
MBK8276409.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
HIG79564.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
MBH2043658.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae bacterium		1871071.0
MBL4743925.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
MBA2591871.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MAY26598.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Polycyclovorans sp.	Polycyclovorans	2024852.0
NDG14246.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium		1891241.0
MBF6558801.1	Bacteria	Candidatus Binatota	Candidatus Binatia	Candidatus Binatales	Candidatus Binataceae	Candidatus Binataceae bacterium		2785449.0
MBI4692868.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBH0199515.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
MBI1867601.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp.	Methylocystis	1911079.0
MAV31087.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
NOT12862.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
NCU02060.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Candidatus Macondimonas diazotrophica	Candidatus Macondimonas	2305248.0
HIN90264.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae bacterium		2026782.0
MBV1870405.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBK8278556.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
MBV1873068.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBV1870520.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBT4349083.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Methylococcales bacterium		2304002.0
MBM3653396.1	Bacteria	Proteobacteria	Alphaproteobacteria			Alphaproteobacteria bacterium		1913988.0
MBH2043043.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae bacterium		1871071.0
MBL4868815.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
MBA0015235.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira sp.	Nitrosospira	38080.0
MBE9539295.1	Bacteria	Proteobacteria				Proteobacteria bacterium		1977087.0
MBA2591872.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBV1871123.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBM4227400.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
HHJ39653.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylothermaceae bacterium		2268196.0
MBL4606991.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
HIF08394.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sneathiellales		Sneathiellales bacterium		2528251.0
MBI5257619.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Burkholderiales bacterium		1891238.0
MBP1184698.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum sp. S3v3	Methylocaldum	2806558.0
MBV1872142.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MSQ67459.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBV1870519.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MSW50896.1	Bacteria	Actinobacteria	Actinomycetia			Actinobacteria bacterium		1883427.0
MBS0181113.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
NOT11654.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
MBL4607473.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
MBM3624699.1	Bacteria	Proteobacteria	Alphaproteobacteria			Alphaproteobacteria bacterium		1913988.0
MBH0187435.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
MBV1874967.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MQA16720.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardiaceae bacterium		1873463.0
HFD87659.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBI5862364.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales		Rhodocyclales bacterium		2072421.0
NOT83304.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
HBC58678.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
HIF17469.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp.	Cycloclasticus	2024830.0
HFD87660.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
MBL6750319.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Nevskia sp.	Nevskia	1929292.0
MBA3702515.1	Bacteria	Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacteraceae bacterium		2740537.0
MBL4607057.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
MBL4607472.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
MBV1884353.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales		Pseudomonadales bacterium		1891229.0
MBN9270453.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium sp.	Mesorhizobium	1871066.0
MBL6750317.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Nevskia sp.	Nevskia	1929292.0
MBV1870518.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
