protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
ACD31660.1	Bacteria					uncultured bacterium		77133.0
AGD80472.1	Bacteria					uncultured bacterium		77133.0
QBR71547.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
AAM11580.1	Bacteria					uncultured bacterium		77133.0
BAP16625.1	Bacteria					uncultured bacterium		77133.0
ABM64644.1	Bacteria					uncultured bacterium		77133.0
ASB30511.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		uncultured Nitrosomonadales bacterium		239992.0
WP_067512346.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			80864.0
OQW57196.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. ST-bin4	Nitrospira	1978764.0
CAC84777.1	Bacteria					uncultured bacterium		77133.0
WP_133879577.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Panacagrimonas perspica	Panacagrimonas	381431.0
WP_085772258.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
ABV25575.1	Bacteria					uncultured bacterium		77133.0
WP_196434762.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas sp. LL1	Methylomonas	2785785.0
WP_159655314.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylicorpusculum oleiharenae	Methylicorpusculum	1338687.0
AFR56674.1	Bacteria					uncultured bacterium		77133.0
ASB30430.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		uncultured Nitrosomonadales bacterium		239992.0
BAE86876.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotuvimicrobium japanense	Methylotuvimicrobium	81932.0
AQV44007.1	Bacteria					uncultured bacterium		77133.0
AEU17002.1	Bacteria					uncultured bacterium		77133.0
RNJ76715.1	Archaea	Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus sp. H13	Nitrosopumilus	2478556.0
AEU17024.1	Bacteria					uncultured bacterium		77133.0
AGH62063.1	Bacteria					uncultured bacterium		77133.0
AIF09045.1	Archaea	Thaumarchaeota				uncultured marine thaumarchaeote KM3_34_C02		1456129.0
WP_014211363.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium rhodesiae	Mycolicibacterium	36814.0
BAO50341.1	Bacteria					uncultured bacterium		77133.0
WP_136846984.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Sinimarinibacterium sp. CAU 1509	Sinimarinibacterium	2562283.0
WP_036297036.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter whittenburyi	Methylobacter	39770.0
WP_114970866.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax sp. OTU1	Rhodoferax	2109322.0
CDR86260.1	Bacteria					uncultured bacterium		77133.0
AEM63774.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ANU06136.1	Bacteria					uncultured bacterium		77133.0
BAE16344.1	Bacteria					uncultured bacterium		77133.0
ALX36526.1	Bacteria					uncultured bacterium		77133.0
OLB40646.1	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter sp. 13_2_20CM_53_11	Ktedonobacter	1805233.0
WP_074202506.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas cryotolerans	Nitrosomonas	44575.0
WP_174582425.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Candidatus Methylacidithermus pantelleriae	Candidatus Methylacidithermus	2744239.0
CEJ96017.1	Bacteria					uncultured bacterium		77133.0
AYV61996.1	Bacteria					uncultured bacterium		77133.0
ADW80614.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides sp. CF8	Nocardioides	110319.0
AWJ65535.1	Bacteria					uncultured bacterium		77133.0
AQU43388.1	Bacteria					uncultured bacterium		77133.0
WP_211376018.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium diazoefficiens	Bradyrhizobium	1355477.0
WP_064037875.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas methanica	Methylomonas	421.0
ADW08355.1	Bacteria					uncultured bacterium		77133.0
ANJ88646.1	Bacteria					uncultured bacterium		77133.0
SFU84057.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas eutropha	Nitrosomonas	916.0
BAN14864.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ANU06132.1	Bacteria					uncultured bacterium		77133.0
CBX88051.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AGX13825.1	Bacteria					uncultured bacterium		77133.0
AEW22851.1	Bacteria					uncultured bacterium		77133.0
BAE45198.1	Bacteria					uncultured bacterium		77133.0
AWJ65740.1	Bacteria					uncultured bacterium		77133.0
ATY36152.1	Bacteria					uncultured bacterium		77133.0
PKO83758.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-11		2013702.0
AFQ37518.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured methane-oxidizing gamma proteobacterium		1200391.0
AAT91825.1	Bacteria					uncultured bacterium		77133.0
AJA32914.1	Bacteria					uncultured bacterium		77133.0
ACC85973.1	Bacteria					uncultured bacterium		77133.0
AKU78511.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ABY54932.1	Bacteria					uncultured bacterium		77133.0
BAC10331.1	Bacteria					uncultured bacterium		77133.0
CAG27854.1	Bacteria	Proteobacteria	Alphaproteobacteria			uncultured methanotrophic alpha proteobacterium		253284.0
AFI78849.1	Bacteria					uncultured bacterium		77133.0
TKS59187.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
OUR85102.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 44_32_T64	Cycloclasticus	1856282.0
AEM46012.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
